flight_id,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,airlineName,isFreighter,productionLine,ageYears,manufacturer
ARG1511_20180101,e06442,LV-FQB,B738,SACO,SABE,SABE,,,,,,,,,Aerolineas Argentinas,False,Boeing 737 NG,13.2,Boeing
DAL14_20180101,a14c29,N183DN,B763,KATL,,EDDF,,,,,,,,,Delta Air Lines,False,Boeing 767,31.6,Boeing
JBU263_20180108,aa600a,N768JB,A320,KJFK,,KSEA,,,,,,,,,JetBlue Airways,False,Airbus A320,15.9,Airbus
DAL65_20180108,ab2855,N818NW,A333,KATL,KLAX,KLAX,,,,,,,,,Delta Air Lines,False,Airbus A330,17.4,Airbus
EDW24_20180111,4b1901,HB-JMF,A343,LSZH,LSZH,MMUN,LSZH,engine,return,unknown,4b382175,engine,return,unknown,Edelweiss Air,False,Airbus A340,21.1,Airbus
ASA111_20180112,a602ab,N487AS,B739,KLAS,,PANC,,,,,,,,,Alaska Airlines,False,Boeing 737,9.2,Boeing
WJA506_20180122,c0499b,C-GBWS,B736,CYXE,,CYYZ,,,,,,,,,WestJet,False,Boeing 737 NG,18.6,Boeing
ASA619_20180122,a28a2c,N263AK,B739,KLAS,KSEA,KSEA,,,,,,,,,Alaska Airlines,False,Boeing 737,8.2,Boeing
ASA619_20180122,a28a2c,N263AK,B739,KLAS,KSEA,KSEA,,,,,,,,,Alaska Airlines,False,Boeing 737,8.2,Boeing
ASA230_20180301,a28a2c,N263AK,B739,KSAN,MMSD,MMSD,,,,,,,,,Alaska Airlines,False,Boeing 737,8.2,Boeing
WOW699_20180125,4cc500,TF-NEO,A20N,LLBG,BIKF,BIKF,,,,,,,,,WOW Air,False,Airbus A320,7.6,Airbus
DAL2345_20180127,a4462e,N3748Y,B738,KSMF,KATL,KATL,,,,,,,,,Delta Air Lines,False,Boeing 737 NG,23.5,Boeing
UAL979_20180201,a8b760,N66057,B764,KEWR,SAEZ,SAEZ,,,,,,,,,United Airlines,False,Boeing 767,22.9,Boeing
BLX236_20180201,4ac8d9,SE-RFY,B738,GCLP,EDDN,EFHK,EDDN,unclear,diverted,unknown,,,,,TUIfly Nordic,False,Boeing 737 NG,10.7,Boeing
AFL111_20180204,42423f,VP-BLY,A332,KMIA,,UUEE,,,,,,,,,Aeroflot,False,Airbus A330,16.0,Airbus
AFR032_20180209,3949e1,F-GSPB,B772,LFPO,LFPO,KJFK,LFPO,technical,return,unknown,4b4b9911,engine,return,unknown,Air France,False,Boeing 777,26.6,Boeing
AAL215_20180210,ab436f,N825AA,B789,KLAX,,SBGR,,,,,,,,,American Airlines,False,Boeing 787,7.9,Boeing
BOS3_20180213,3982a8,F-HAVI,B752,LFPO,LFPO,KEWR,LFPO,unclear,return,unknown,,,,,Air France,False,Boeing 757,34.3,Boeing
AFR31KQ_20180218,392ae4,F-GKXE,A320,LFML,LFPO,LFPO,,unclear,unclear,unknown,,,,,Air France,False,Airbus A320,22.2,Airbus
AZU8706_20180225,e4910e,PR-AIW,A332,SBKP,,KMCO,,,,,,,,,Azul,False,Airbus A330,22.8,Airbus
AZU8706_20180225,e4910e,PR-AIW,A332,SBKP,,KMCO,,,,,,,,,Azul,False,Airbus A330,22.8,Airbus
AZU8710_20181212,e4910e,PR-AIW,A332,SBRF,,KMCO,,,,,,,,,Azul,False,Airbus A330,22.8,Airbus
SHT16ED_20180226,400a5b,G-DBCA,A319,EGKK,EGPH,EGPH,,unclear,unclear,unknown,,,,,British Airways,False,Airbus A319,21.0,Airbus
RYR3ZK_20180228,4ca678,EI-FOV,B738,LPPT,LPPT,LPPR,LPPT,unclear,return,unknown,4b592dcf,cabin_pressure,return,unknown,Ryanair,False,Boeing 737 NG,8.7,Boeing
ASA230_20180301,a28a2c,N263AK,B739,KSAN,MMSD,MMSD,,,,,,,,,Alaska Airlines,False,Boeing 737,8.2,Boeing
DAL445_20180303,ab7ae4,N839MH,B764,LIRF,LFPG,KJFK,LFPG,unclear,diverted,unknown,4b5b3cf5,instrument,diverted,fueldump,Delta Air Lines,False,Boeing 767,23.8,Boeing
AFR1196_20180303,392af2,F-GKXS,A320,LFPG,LFPG,GMMN,LFPG,technical,return,unknown,,,,,Air France,False,Airbus A320,15.7,Airbus
MSR651_20180312,010109,SU-GDA,B738,HECA,,OERK,,,,,,,,,EgyptAir,False,Boeing 737 NG,15.3,Boeing
EXS746_20180313,4070e7,G-JZHT,B738,GCFV,,EGPH,,unclear,unclear,unknown,,,,,Jet2,False,Boeing 737 NG,7.8,Boeing
SWG521_20180316,c03abc,C-FWGH,B738,CYYZ,,MMPR,,,,,,,,,Sunwing,False,Boeing 737 NG,13.1,Boeing
SKW4820_20180318,ab4151,N824SK,CRJ9,KMSP,CYXE,CYXE,,,,,,,,,SkyWest Airlines,False,Canadair CRJ 900,15.9,Canadair
FDX5926_20180318,a821e4,N623FE,MD11,ZGGG,RKSI,RKSI,,unclear,unclear,unknown,,,,,FedEx - Federal Express,True,McDonnell Douglas MD-11,25.5,McDonnell Douglas
BAW57K_20180319,40688d,G-XLEC,A388,EGLL,EGKK,FAOR,EGKK,hot_air_leak,return,hold_to_reduce,4b649fd5,hot_air_leak,return,fueldump,British Airways,False,Airbus A380,11.7,Airbus
FDX5201_20180320,a903b9,N680FE,A306,EIDW,EGSS,EGSS,,unclear,planned,unknown,,,,,FedEx - Federal Express,True,Airbus A300,26.1,Airbus
EXS16R_20180326,40717e,G-JZBB,B738,LEAL,EGKK,EGBB,EGKK,unclear,diverted,unknown,,,,,Jet2,False,Boeing 737 NG,7.1,Boeing
AEE625_20180329,4691c4,SX-DND,A320,EDDF,EDDF,LGAV,EDDF,unclear,diverted,unknown,,,,,Aegean Airlines,False,Airbus A320,8.8,Airbus
AAL93_20180330,a3deca,N349AN,B763,LSZH,EGLL,KPHL,EGLL,unclear,diverted,unknown,,,,,American Airlines,False,Boeing 767,21.4,Boeing
AAL93_20180330,a3deca,N349AN,B763,LSZH,EGLL,KPHL,EGLL,unclear,diverted,unknown,,,,,American Airlines,False,Boeing 767,21.4,Boeing
AAL213_20180605,a3deca,N349AN,B763,KMIA,,SBBR,,,,,,,,,American Airlines,False,Boeing 767,21.4,Boeing
AAL213_20180605,a3deca,N349AN,B763,KMIA,,SBBR,,,,,,,,,American Airlines,False,Boeing 767,21.4,Boeing
ICE689_20180330,4cc269,TF-FIA,B752,BIKF,KMCO,KMCO,,,,,,,,,Icelandair,False,Boeing 757,24.3,Boeing
ACA135_20180402,c0252d,C-FOCA,B763,CYYZ,,CYYC,,,,,,,,,Air Canada,False,Boeing 767,34.5,Boeing
THY140_20180404,4ba92e,TC-JIN,A332,LTFM,OERK,OERK,,,,,,,,,Turkish Airlines,False,Airbus A330,16.5,Airbus
UAL1665_20180407,a8d5a4,N66897,B739,KDEN,MMSD,MMSD,,,,,,,,,United Airlines,False,Boeing 737,8.0,Boeing
SWA1642_20180409,ab628c,N8323C,B738,KLAS,KATL,KATL,,,,,,,,,Southwest Airlines,False,Boeing 737 NG,12.1,Boeing
DLH6TR_20180412,3c6613,D-AIPS,A320,EDDF,,EGBB,EGLL,smoke_burn_smell_flames,diverted,unknown,,,,,Lufthansa,False,Airbus A320,34.4,Airbus
SVA637_20180412,710126,HZ-AS58,A320,OERK,,OJAI,,,,,,,,,Saudi Arabian Airlines,False,Airbus A320,7.5,Airbus
ASA790_20180414,a5a888,N464AS,B739,KSEA,KEWR,KEWR,,,,,,,,,Alaska Airlines,False,Boeing 737 NG,10.6,Boeing
JAI535_20180415,8001cc,VT-JGR,B738,OMDB,,VABB,,,,,,,,,Jet Airways,True,Boeing 737 NG,18.2,Boeing
CJT573_20180420,c0208a,C-FMIJ,B763,CYHM,,CYWG,,,,,,,,,Cargojet,True,Boeing 767,31.6,Boeing
TAY071X_20180420,4ca7fa,EI-STK,B734,EFTU,ESSA,EBLG,ESSA,unclear,diverted,unknown,,,,,ASL Airlines Ireland,True,Boeing 737 Classic,33.6,Boeing
GLO9700_20180421,e48c30,PR-GUY,B738,SBGR,,MDPC,,,,,,,,,Transportes Aereos Inter,False,Boeing 737 NG,11.8,Boeing
FDX1_20180421,a76ca3,N578FE,MD11,LFPG,LFPG,KMEM,LFPG,unclear,return,unknown,,,,,FedEx - Federal Express,True,McDonnell Douglas MD-11,34.6,McDonnell Douglas
DAL80_20180422,a05614,N1200K,B763,KATL,EBBR,EBBR,,engine,planned,unknown,,,,,Delta Air Lines,False,Boeing 767,26.7,Boeing
AFR48FC_20180422,3985a8,F-HBNI,A320,LFBO,LFPO,LFPO,,unclear,unclear,unknown,,,,,Air France,False,Airbus A320,13.2,Airbus
NKS906_20180425,a84660,N632NK,A320,KIAH,KDTW,KDTW,,,,,,,,,Spirit Airlines,False,Airbus A320,10.1,Airbus
SVA768_20180427,710051,HZ-AQH,A333,OEJN,OMDB,VOMM,OMDB,unclear,diverted,unknown,4b7e07fa,cabin_pressure,diverted,unknown,Saudi Arabian Airlines,False,Airbus A330,13.9,Airbus
AAL2807_20180428,a0e086,N156AN,A321,KMIA,KLAX,KTPA,KLAX,,,,,,,,American Airlines,False,Airbus A321,8.8,Airbus
ACA549_20180429,c058be,C-GHPT,B788,KEWR,,CYVR,,unclear,unclear,unknown,,,,,Air Canada,False,Boeing 787,10.5,Boeing
GMI4926_20180429,3c5cb1,D-AGEQ,B737,,EDDT,,EDDT,unclear,unclear,unknown,4b7f2209,engine,return,unknown,Germania,False,Boeing 737 NG,26.3,Boeing
FDX1414_20180501,a02cb5,N110FE,B763,KMEM,KTUS,KTUS,,,,,,,,,FedEx - Federal Express,True,Boeing 767,10.0,Boeing
UAL121_20180503,a1cdd8,N215UA,B772,LEBL,KEWR,KEWR,,,,,,,,,United Airlines,False,Boeing 777,24.3,Boeing
FXI27_20180503,4cc331,TF-FXK,DH8B,BIIS,BIRK,BIRK,,,,,,,,,Air Iceland Connect,False,Bombardier DHC-8,28.4,Bombardier
FXI27_20180503,4cc331,TF-FXK,DH8B,BIIS,BIRK,BIRK,,,,,,,,,Air Iceland Connect,False,Bombardier DHC-8,28.4,Bombardier
FXI233_20180504,4cc331,TF-FXK,DH8B,BIRK,,BGKK,,,,,,,,,Air Iceland Connect,False,Bombardier DHC-8,28.4,Bombardier
FXI233_20180504,4cc331,TF-FXK,DH8B,BIRK,,BGKK,,,,,,,,,Air Iceland Connect,False,Bombardier DHC-8,28.4,Bombardier
GMI32FG_20180504,3c09ef,D-ASTU,A319,EDDG,EDDG,LEPA,EDDG,cabin_pressure,return,unknown,4b830fb6,cabin_pressure,return,unknown,Germania,False,Airbus A319,16.5,Airbus
DLH4PK_20180507,3c664b,D-AIRK,A321,EDDM,,EFHK,EDDT,engine,diverted,unknown,4b846914,engine,diverted,unknown,Lufthansa,False,Airbus A321,30.4,Airbus
UAL957_20180509,a895eb,N652UA,B763,LSGG,LSGG,KEWR,LSGG,landing_gear,return,unknown,,,,,United Airlines,False,Boeing 767,32.2,Boeing
EWG8HX_20180512,3c4906,D-ABHF,A320,LGTS,EDDN,EDDL,EDDN,unclear,diverted,unknown,,,,,Eurowings,False,Airbus A320,18.6,Airbus
EZY8619_20180516,440090,OE-IVL,A320,EGKK,,LEPA,LFBD,technical,diverted,unknown,,,,,EasyJet Europe,False,Airbus A320,10.4,Airbus
QTR727_20180519,06a0fc,A7-ALH,A359,OTHH,,KPHL,,,,,,,,,Qatar Airways,False,Airbus A350,8.8,Airbus
UAL135_20180520,aa93c9,N78060,B764,LSZH,LSZH,KEWR,LSZH,unclear,return,hold_to_reduce,4b8d6334,cracked_windshield,return,fueldump,United Airlines,False,Boeing 767,22.8,Boeing
EXS88YB_20180523,406c81,G-JZHC,B738,EGCC,EGSS,LEPA,EGSS,unclear,diverted,unknown,,,,,Jet2,False,Boeing 737 NG,24.7,Boeing
VIV3709_20180524,0d09c2,XA-VAT,A320,MMTJ,,MMMX,,,,,,,,,VivaAerobus,False,Airbus A320,8.7,Airbus
ENT863_20180525,4891ab,SP-ENL,B738,LICC,IT-0019,LFRS,LICC,unclear,return,unknown,,,,,Enter Air,False,Boeing 737 NG,22.1,Boeing
DAL97_20180525,abd018,N860NW,A332,LFPG,KDTW,KDTW,,unclear,planned,unknown,,,,,Delta Air Lines,False,Airbus A330,18.3,Airbus
LLX5963_20180526,4a4ca1,YR-SEA,A320,EDLP,LFBE,LEMG,LFBE,unclear,diverted,unknown,4b91f180,cabin_pressure,diverted,unknown,Star East Airline,False,Airbus A320,29.3,Airbus
AAL2254_20180526,a12bcd,N175AN,B752,KMIA,KDFW,KDFW,,,,,,,,,American Airlines,False,Boeing 757,23.0,Boeing
MSC610_20180529,0101bf,SU-BTM,A320,,,,,,,,,,,,Air Cairo,False,Airbus A320,14.5,Airbus
VLG7104_20180529,3452c9,EC-MNZ,A320,LECO,LFPO,EGLL,LFPO,technical,diverted,unknown,,,,,Vueling,False,Airbus A320,8.2,Airbus
MSR759_20180601,010162,SU-GED,B738,HECA,EPWA,EKCH,EPWA,technical,diverted,unknown,,,,,EgyptAir,False,Boeing 737 NG,12.4,Boeing
AAL213_20180603,a15aba,N187AN,B752,KMIA,,SBBR,,,,,,,,,American Airlines,False,Boeing 757,23.5,Boeing
AAL1897_20180603,aaf83c,N806AW,A319,KSAT,KELP,KPHX,KELP,weather_damage,diverted,hold_to_reduce,4b97224e,weather_damage,diverted,hold_to_reduce,American Airlines,False,Airbus A319,25.4,Airbus
JBU232_20180604,a732d9,N563JB,A320,KLGB,KSLC,KSLC,,,,,,,,,JetBlue Airways,False,Airbus A320,21.6,Airbus
AAL2237_20180606,a0a2bd,N140AN,A321,KDCA,KDFW,KDFW,,,,,,,,,American Airlines,False,Airbus A321,9.4,Airbus
NAX7075_20180606,4950d8,CS-TFX,A345,LEBL,LEBL,KOAK,LEBL,unclear,return,unknown,,,,,HiFly,False,Airbus A340,16.3,Airbus
AAL2057_20180606,a7101e,N554UW,A321,KLAX,,KCLT,,,,,,,,,American Airlines,False,Airbus A321,12.9,Airbus
ACA832_20180610,c0583f,C-GHKW,A333,CYUL,,EBBR,,,,,,,,,Air Canada,False,Airbus A330,23.5,Airbus
TVF71AT_20180610,3964e3,F-GZHD,B738,LFPO,LFPO,LEZL,LFPO,unclear,return,unknown,,,,,Transavia France,False,Boeing 737,16.6,Boeing
TVF71AT_20180610,3964e3,F-GZHD,B738,LFPO,LFPO,LEZL,LFPO,unclear,return,unknown,,,,,Transavia France,False,Boeing 737,16.6,Boeing
TVF19JZ_20190108,3964e3,F-GZHD,B738,,LFPO,,,unclear,unclear,unknown,,,,,Transavia France,False,Boeing 737,16.6,Boeing
TVF19JZ_20190108,3964e3,F-GZHD,B738,,LFPO,,,unclear,unclear,unknown,,,,,Transavia France,False,Boeing 737,16.6,Boeing
SKU502_20180613,e80321,CC-AID,A319,SAEZ,,SCEL,,,,,,,,,Sky Airline,False,Airbus A319,19.7,Airbus
AFR228_20180614,3949f2,F-GSPS,B772,LFPG,LFPG,SAEZ,LFPG,technical,return,unknown,,,,,Air France,False,Boeing 777,23.1,Boeing
UAL14_20180616,aa44d0,N76065,B764,KEWR,EGLL,EGLL,,unclear,planned,unknown,,,,,United Airlines,False,Boeing 767,22.6,Boeing
IBK6241_20180616,4ca354,EI-FHD,B738,BIKF,EGBB,LEMD,EGBB,hydraulics,diverted,unknown,4b9f779c,hydraulics,diverted,unknown,Norwegian Air International,False,Boeing 737 NG,12.8,Boeing
TOM54A_20180617,406d6f,G-TUIH,B788,EGKK,,LDDU,EGKK,unclear,return,unknown,,,,,TUI Airways,False,Boeing 787,9.6,Boeing
AAL435_20180620,a74679,N568UW,A321,KDFW,,KSMF,,,,,,,,,American Airlines,False,Airbus A321,11.3,Airbus
ACA885_20180622,c051e4,C-GFAH,A333,LFPG,LFPG,CYUL,LFPG,hydraulics,return,hold_to_reduce,4ba4a68b,hydraulics,return,unknown,Air Canada,False,Airbus A330,25.2,Airbus
ANA232_20180622,86d5d8,JA823A,B788,EBBR,EFHK,RJAA,EFHK,cracked_windshield,diverted,unknown,4ba3ebc0,cracked_windshield,diverted,unknown,ANA,False,Boeing 787,11.3,Boeing
CLX831_20180624,4d010b,LX-VCV,B744,KORD,,KIND,,,,,,,,,Cargolux Italia,True,Boeing 747,19.0,Boeing
ARG1301_20180626,e072d0,LV-GKP,A332,KJFK,,SAEZ,,,,,,,,,Aerolineas Argentinas,False,Airbus A330,20.1,Airbus
QFA63_20180626,7c4774,VH-OEE,B744,YSSY,FAOR,FAOR,,,,,,,,,Qantas,False,Boeing 747,22.3,Boeing
DAL819_20180630,a3d3f0,N346DN,A321,KLAX,KATL,KATL,,,,,,,,,Delta Air Lines,False,Airbus A321,6.7,Airbus
DAL819_20180630,a3d3f0,N346DN,A321,KLAX,KATL,KATL,,,,,,,,,Delta Air Lines,False,Airbus A321,6.7,Airbus
DAL2062_20190613,a3d3f0,N346DN,A321,KMSP,KBOS,KBOS,,,,,,,,,Delta Air Lines,False,Airbus A321,6.7,Airbus
DAL2062_20190613,a3d3f0,N346DN,A321,KMSP,KBOS,KBOS,,,,,,,,,Delta Air Lines,False,Airbus A321,6.7,Airbus
TJK646_20180701,0d0573,EY-444,B733,UUDD,UUUD,UTDL,UUUD,cabin_pressure,return,unknown,4ba9da5e,cabin_pressure,return,hold_to_reduce,Tajik Air,False,Boeing 737 Classic,32.7,Boeing
EZY57UT_20180705,406d92,G-EZOM,A320,LIMC,,LGIR,LIMC,unclear,return,unknown,4badb5c2,smoke_burn_smell_flames,return,unknown,easyJet,False,Airbus A320,9.6,Airbus
NAX7191_20180706,4950cd,CS-TFM,B772,LFPO,LFPO,KEWR,LFPO,landing_gear,return,hold_to_reduce,4bae6d1a,landing_gear,return,fueldump,Euro-Asia Air,False,Boeing 777,26.5,Boeing
SWA4133_20180707,aaa929,N7860A,B737,KMCO,KDAL,KDAL,,,,,,,,,Southwest Airlines,False,Boeing 737,19.5,Boeing
SWA2263_20181116,aaa929,N7860A,B737,KLAX,KPHX,KPHX,,,,,,,,,Southwest Airlines,False,Boeing 737,19.5,Boeing
SWA2263_20181116,aaa929,N7860A,B737,KLAX,KPHX,KPHX,,,,,,,,,Southwest Airlines,False,Boeing 737,19.5,Boeing
ASH5740_20180707,a390e3,N329MS,CRJ9,KDFW,,KAMA,,,,,,,,,Mesa Airlines,True,Canadair CRJ 900,17.3,Canadair
ICE784_20180708,4cc29f,TF-FIH,B752,BIKF,EGPF,EBLG,EGPF,unclear,diverted,unknown,,,,,Icelandair,True,Boeing 757,34.7,Boeing
UAL368_20180712,aa2ba2,N75426,B739,KSFO,KPHX,KPHX,,unclear,unclear,unknown,,,,,United Airlines,False,Boeing 737 NG,16.4,Boeing
UZB765_20180714,507c41,UK32018,A320,UTTT,UTTT,UAAA,UTTT,unclear,return,unknown,,,,,Uzbekistan Airways,False,Airbus A320,13.5,Airbus
EZY43YH_20180714,405b77,G-ECOD,DH8D,,EGCC,,,,,,,,,,Flybe,False,Bombardier DHC-8,16.3,Bombardier
DAH1025_20180715,0a0025,7T-VJR,B736,LFML,LFML,DAAG,LFML,unclear,return,unknown,,,,,Air Algerie,False,Boeing 737 NG,22.6,Boeing
BPA2221_20180717,4d2124,9H-GTC,B734,LATI,LIPY,LIMC,LIPY,cracked_windshield,diverted,unknown,4bb59538,cracked_windshield,diverted,unknown,Air Horizont,False,Boeing 737 Classic,32.4,Boeing
AZA875_20180719,4ca82e,EI-DTN,A320,GMMN,,LIRF,LIEE,unclear,diverted,unknown,4bb636ac,fuel_leak,diverted,unknown,ITA Airways,False,Airbus A320,15.0,Airbus
BAW2605_20180719,406b83,G-GATR,A320,LIRN,EGKK,EGKK,,hydraulics,planned,unknown,4bb62e20,hydraulics,planned,unknown,BA Cityflyer,False,Airbus A320,22.7,Airbus
DAL84_20180720,ab9387,N845MH,B764,KATL,LFPG,LFPG,,unclear,unclear,unknown,,,,,Delta Air Lines,False,Boeing 767,22.6,Boeing
ACA548_20180720,c0293e,C-FPQB,B789,CYVR,,KEWR,,unclear,unclear,unknown,,,,,Air Canada,False,Boeing 787,8.6,Boeing
CCA876_20180726,7811a3,B-1467,B789,LFPG,LFPG,ZBAA,LFPG,bomb_threat,diverted,fueldump,,,,,Air China,False,Boeing 787,7.2,Boeing
VOE24VW_20180726,3455d8,EC-MTD,A319,LIRN,LFLL,LFBD,LFLL,unclear,diverted,unknown,,,,,Volotea,False,Airbus A319,20.1,Airbus
LAN471_20180726,e80416,CC-BAF,A320,SAAR,,SCEL,,,,,,,,,LATAM Chile,False,Airbus A320,14.0,Airbus
FDB836_20180730,8962b8,A6-FDM,B738,OEJN,,OMDB,,,,,,,,,flydubai,False,Boeing 737 NG,14.0,Boeing
AAL484_20180731,a031bd,N111US,A320,KOAK,KSFO,KDFW,KSFO,door,diverted,hold_to_reduce,,,,,American Airlines,False,Airbus A320,25.1,Airbus
WJA211_20180804,c07eda,C-GWAZ,B737,CYEG,CYVR,CYVR,,,,,,,,,WestJet,False,Boeing 737 NG,20.5,Boeing
AAL43_20180808,aae958,N802AN,B788,LIPZ,LFPG,KORD,LFPG,unclear,diverted,unknown,,,,,American Airlines,False,Boeing 787,9.8,Boeing
CAL5321_20180808,89911d,B-18709,B744,KJFK,,PANC,,,,,,,,,China Airlines,True,Boeing 747,22.9,Boeing
VOI959_20180809,0d0932,XA-VLL,A320,KSAT,,MMGL,,,,,,,,,Volaris,False,Airbus A320,9.2,Airbus
SHT14P_20180811,400afc,G-EUXD,A321,EGPH,EGLL,EGLL,,unclear,planned,unknown,,,,,BA Cityflyer,False,Airbus A321,20.1,Airbus
UAL463_20180812,a923a9,N68823,B739,KLGA,KORD,KORD,,,,,,,,,United Airlines,False,Boeing 737 NG,10.6,Boeing
UAL463_20180812,a923a9,N68823,B739,KLGA,KORD,KORD,,,,,,,,,United Airlines,False,Boeing 737 NG,10.6,Boeing
UAL1014_20181101,a923a9,N68823,B739,KIAH,,MMUN,,,,,,,,,United Airlines,False,Boeing 737 NG,10.6,Boeing
UAL1014_20181101,a923a9,N68823,B739,KIAH,,MMUN,,,,,,,,,United Airlines,False,Boeing 737 NG,10.6,Boeing
BCS5706_20180814,4070a7,G-DHKB,B752,LIME,LIME,LROP,LIME,unclear,return,unknown,4bc5c976,cabin_pressure,return,unknown,DHL Air,True,Boeing 757,24.1,Boeing
AFR35MP_20180815,3991e6,F-HEPG,A320,EIDW,LFPG,LFPG,,engine,planned,unknown,,,,,Air France,False,Airbus A320,11.2,Airbus
WJA454_20180815,c0371f,C-FUWS,B737,CYVR,,CYEG,,,,,,,,,WestJet,False,Boeing 737 NG,20.2,Boeing
BAW22KV_20180817,3c1298,D-AWBB,B737,EGKK,EGKK,LEIB,EGKK,technical,return,unknown,,,,,PrivatAir Germany,False,Boeing 737,25.0,Boeing
FHY638_20180818,4b9856,TC-FBV,A320,EGSH,EBBR,LTBS,EBBR,bird,diverted,hold_to_reduce,,,,,Freebird Airlines,False,Airbus A320,13.7,Airbus
AAL2756_20180820,ac754b,N9010R,A319,KDFW,,MSLP,,,,,,,,,American Airlines,False,Airbus A319,11.2,Airbus
AMX493_20180821,0d0707,XA-AMA,B738,KSJC,,MMMX,,,,,,,,,Aeromexico,False,Boeing 737 NG,12.3,Boeing
ARG1488_20180822,e07581,LV-GVA,B738,SABE,,SANE,,,,,,,,,Aerolineas Argentinas,False,Boeing 737 NG,7.4,Boeing
DAL389_20180826,a3ad5a,N336NW,A320,KATL,MMSD,MMSD,,,,,,,,,Delta Air Lines,False,Airbus A320,32.3,Airbus
ROT1975_20180828,4a08e6,YR-BGF,B737,LROP,,LROP,,unclear,unclear,unknown,,,,,TAROM,False,Boeing 737,23.7,Boeing
ICE82B_20180829,4cc270,TF-ISF,B752,BIKF,,ESSA,,,,,,,,,Icelandair,False,Boeing 757,33.9,Boeing
WZZ8HT_20180830,471f63,HA-LXB,A321,LROP,EGKK,EGKK,,technical,planned,unknown,,,,,Wizz Air,False,Airbus A321,8.9,Airbus
FDX5086_20180830,acc619,N922FD,B752,LFPG,LFSB,LFSB,,unclear,planned,unknown,,,,,FedEx - Federal Express,True,Boeing 757,35.7,Boeing
CMP253_20180902,0c20ce,HP-1854CMP,B738,KLAS,,MPTO,,,,,,,,,Copa Airlines,False,Boeing 737 NG,7.9,Boeing
EZY78ED_20180905,440181,OE-LQG,A319,EDDB,EDDF,LFBO,EDDF,smoke_burn_smell_flames,diverted,unknown,4bd4c17b,smoke_burn_smell_flames,diverted,unknown,EasyJet Europe,False,Airbus A319,15.1,Airbus
FPO01G_20180907,396674,F-GZTU,B737,LFPG,LFBD,LFRS,LFBD,unclear,diverted,unknown,,,,,ASL Airlines France,False,Boeing 737 NG,20.6,Boeing
EZY8581_20180907,44014a,OE-IJB,A320,EGKK,LFPG,LEBL,LFPG,technical,diverted,unknown,,,,,EasyJet Europe,False,Airbus A320,9.6,Airbus
